INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
University of Arkansas for Medical Sciences,https://www.uams.edu/,NA,NA,NA,14000,1361,0.2694,0.6032,0.1058,0.0992,0.0852,0.0044,0.0022,0.0397,0.0081,0.0522,NA,NA,Little Rock,AR,1,1
Arkansas Baptist College,https://www.arkansasbaptist.edu/,NA,NA,NA,25375,373,0.4597,0.0107,0.9115,0.0456,0,0.0027,0,0.0161,0.008,0.0054,0,22626,Little Rock,AR,0,1
Arkansas Beauty School-Little Rock,arbs.edu/,NA,NA,NA,6333,111,0.5714,0.045,0.8649,0.0901,0,0,0,0,0,0,NA,NA,Little Rock,AR,0,1
Arkansas Beauty College,https://www.arkansasbeautycollege.us/,NA,NA,NA,NA,56,0.6226,0.6607,0.1429,0.125,0.0357,0,0,0.0357,0,0,NA,NA,Russellville,AR,0,0
Lyon College,www.lyon.edu/,NA,0.6554,NA,21500,563,0.3596,0.4671,0.087,0.0799,0.0142,0.0036,0,0.0195,0.0515,0.2771,0.4554,44943,Batesville,AR,0,0
Arkansas Technical School,www.arktech.edu/,NA,NA,NA,16500,111,0.6286,0.1622,0.8108,0.018,0,0,0,0.009,0,0,NA,NA,North Little Rock,AR,0,1
University of Arkansas,https://www.uark.edu/,1174,0.7167,NA,21500,27312,0.173,0.7456,0.0395,0.1097,0.0286,0.0082,0.0016,0.0462,0.0122,0.0083,0.7136,26161,Fayetteville,AR,1,1
University of Arkansas at Pine Bluff,www.uapb.edu/,916,0.5754,NA,24202,1899,0.6687,0.0258,0.8994,0.0258,0.0026,0.0042,0.0032,0.0195,0.0195,0,0.4164,20907,Pine Bluff,AR,1,0
Arkansas State University-Beebe,www.asub.edu/,NA,NA,NA,8093,1902,0.3289,0.8207,0.0557,0.0678,0.0042,0.0068,0.0016,0.0384,5e-4,0.0042,NA,14799,Beebe,AR,1,0
Arkansas State University,www.astate.edu/,1119,0.6967,NA,20500,7994,0.3679,0.6709,0.1454,0.0494,0.0099,0.0029,6e-4,0.0345,0.0781,0.0084,0.541,22823,Jonesboro,AR,1,1
Arkansas Tech University,https://www.atu.edu/,1050,0.9629,NA,21000,5993,0.3375,0.7187,0.0641,0.1178,0.0185,0.008,5e-4,0.0499,0.0225,0,0.4366,21536,Russellville,AR,1,0
University of Arkansas at Monticello,www.uamont.edu/,NA,NA,NA,19971,1868,0.4938,0.5418,0.3003,0.0889,0.0016,0.0027,0.0016,0.0562,0.007,0,0.2608,20741,Monticello,AR,1,0
Arthur's Beauty College,arthursbeautycollege.com/,NA,NA,NA,9833,47,0.7885,0.7872,0.1915,0.0213,0,0,0,0,0,0,NA,NA,Jacksonville,AR,0,1
Baptist Health College Little Rock,https://www.bhclr.edu/,980,1,NA,10000,512,0.3898,0.6035,0.291,0.0527,0.0078,0.002,0.002,0.0371,0.002,0.002,NA,37054,Little Rock,AR,0,1
Black River Technical College,www.blackrivertech.edu/,NA,NA,NA,9500,938,0.4036,0.8902,0.0235,0.0373,0.0032,0.0011,0.0021,0.0288,0,0.0139,NA,14624,Pocahontas,AR,1,0
University of Central Arkansas,www.uca.edu/,1117,0.9047,NA,20346,7426,0.3734,0.6476,0.1673,0.0768,0.0221,0.0031,0.0012,0.0498,0.0306,0.0016,0.5025,24265,Conway,AR,1,1
Central Baptist College,www.cbc.edu/,1022,0.4636,NA,22250,477,0.422,0.5765,0.1698,0.0964,0.0042,0.0063,0.0021,0.0482,0.0755,0.021,0.4225,27468,Conway,AR,0,1
Cossatot Community College of the University of Arkansas,www.cccua.edu/,NA,NA,NA,NA,835,0.3529,0.4563,0.1485,0.309,0.0036,0.0132,0.0012,0.0683,0,0,NA,11738,De Queen,AR,1,0
Crowley's Ridge College,www.crc.edu/,NA,NA,NA,26228,162,0.48,0.7963,0.179,0.0185,0,0.0062,0,0,0,0,0.2857,25817,Paragould,AR,0,0
East Arkansas Community College,https://www.eacc.edu/,NA,NA,NA,6000,492,0.2689,0.4431,0.4553,0.0203,0.0041,0.0081,0.0081,0.0407,0.0122,0.0081,NA,13028,Forrest City,AR,1,0
Paul Mitchell the School-Little Rock,paulmitchell.edu/littlerock,NA,NA,NA,10725,411,0.5844,0.5012,0.2798,0.0438,0.0073,0.0438,0,0.0633,0,0.0608,NA,NA,North Little Rock,AR,0,1
