INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Bethesda University,212,0.6934,0.3066,0.0849,0.184,0.1887,0.0283,0.0094,0.0094,0.0566,0.4292,0.0094,0.25
Biola University,3390,0.4047,0.5953,0.4032,0.031,0.2363,0.1286,0.0012,0.0018,0.0858,0.0678,0.0442,0.2601
Brownson Technical School,284,0.9894,0.0106,0.1549,0.0493,0.6972,0.0986,0,0,0,0,0,0.7064
Bryan University,2083,0.1344,0.8656,0.4258,0.2516,0.1119,0.0086,0.0115,0.0038,0.0855,0,0.1013,0.747
Butte College,8384,0.4399,0.5601,0.482,0.0225,0.3373,0.0553,0.016,0.0019,0.063,0.0107,0.0112,0.3359
California Institute of Integral Studies,57,0.193,0.807,0.4912,0.1579,0.1228,0.0351,0,0,0.1579,0,0.0351,0.5402
Cabrillo College,7404,0.4335,0.5665,0.3779,0.0089,0.5103,0.0266,0.0027,0.002,0.0552,0.0063,0.01,0.224
California Baptist University,7914,0.3772,0.6228,0.3201,0.0625,0.423,0.0615,0.0048,0.0068,0.0576,0.0195,0.0441,0.4096
California College of the Arts,1004,0.3297,0.6703,0.2012,0.0349,0.1643,0.1584,0.003,0,0.0618,0.3406,0.0359,0.2474
California Institute of Technology,1023,0.567,0.433,0.1994,0.0371,0.1896,0.3539,0.002,0,0.0899,0.1232,0.0049,0.1487
California Lutheran University,2374,0.4629,0.5371,0.3648,0.04,0.4132,0.0543,0.0013,0.0051,0.0653,0.0358,0.0202,0.3016
California Polytechnic State University-San Luis Obispo,21521,0.4985,0.5015,0.4972,0.0069,0.2311,0.144,0.0011,0.0026,0.079,0.0086,0.0296,0.1832
Alliant International University-San Diego,355,0.3859,0.6141,0.4169,0.062,0.369,0.0479,0.0085,0.0028,0.0085,0.031,0.0535,0.0219
California State University-Bakersfield,8183,0.3473,0.6527,0.1235,0.0422,0.6883,0.0692,0.0031,9e-4,0.0213,0.0145,0.0372,0.612
